tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,weighted_rating
tt0363163,movie,Downfall,Der Untergang,0,2004,\N,156,"Biography,Drama,History",8.2,392684,7.726228232103721
tt0440963,movie,The Bourne Ultimatum,The Bourne Ultimatum,0,2007,\N,115,"Action,Mystery,Thriller",8.0,675108,7.72484461495392
tt0114746,movie,12 Monkeys,Twelve Monkeys,0,1995,\N,129,"Mystery,Sci-Fi,Thriller",8.0,669016,7.722925715887386
tt0070047,movie,The Exorcist,The Exorcist,0,1973,\N,122,Horror,8.1,484754,7.719184352768855
tt3170832,movie,Room,Room,0,2015,\N,118,"Drama,Thriller",8.1,472271,7.712160542641405
tt0092005,movie,Stand by Me,Stand by Me,0,1986,\N,89,"Adventure,Comedy,Drama",8.1,471549,7.7117463601452165
tt0091763,movie,Platoon,Platoon,0,1986,\N,120,"Drama,War",8.1,461538,7.705910909135204
tt0450259,movie,Blood Diamond,Blood Diamond,0,2006,\N,143,"Adventure,Drama,Thriller",8.0,613617,7.704164248512111
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,\N,102,"Adventure,Family,Fantasy",8.1,455950,7.7025767130403135
tt0454921,movie,The Pursuit of Happyness,The Pursuit of Happyness,0,2006,\N,117,"Biography,Drama",8.0,601168,7.699593231498092
tt2948356,movie,Zootopia,Zootopia,0,2016,\N,108,"Action,Adventure,Animation",8.0,591286,7.695862947509104
tt3501632,movie,Thor: Ragnarok,Thor: Ragnarok,0,2017,\N,130,"Action,Adventure,Comedy",7.9,869534,7.693695596758531
tt0043014,movie,Sunset Boulevard,Sunset Blvd.,0,1950,\N,110,"Drama,Film-Noir",8.4,252278,7.691060724504002
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,\N,125,"Comedy,Drama,War",8.4,251540,7.689913538360901
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,\N,238,"Drama,Romance,War",8.2,350067,7.689822100444717
tt0095953,movie,Rain Man,Rain Man,0,1988,\N,133,Drama,8.0,571210,7.687991939879321
tt2543164,movie,Arrival,Arrival,0,2016,\N,116,"Drama,Mystery,Sci-Fi",7.9,832805,7.686390960917567
tt8946378,movie,Knives Out,Knives Out,0,2019,\N,130,"Comedy,Crime,Drama",7.9,830311,7.685876156282838
tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,\N,86,"Adventure,Animation,Comedy",8.1,415953,7.676958381538107
tt0126029,movie,Shrek,Shrek,0,2001,\N,90,"Adventure,Animation,Comedy",7.9,785866,7.676267137036631
tt1631867,movie,Edge of Tomorrow,Edge of Tomorrow,0,2014,\N,113,"Action,Adventure,Sci-Fi",7.9,784132,7.675874735200589
tt1877832,movie,X-Men: Days of Future Past,X-Men: Days of Future Past,0,2014,\N,132,"Action,Adventure,Sci-Fi",7.9,776508,7.6741329769636355
tt0045152,movie,Singin' in the Rain,Singin' in the Rain,0,1952,\N,103,"Comedy,Musical,Romance",8.3,275855,7.668431294606574
tt0021749,movie,City Lights,City Lights,0,1931,\N,87,"Comedy,Drama,Romance",8.5,209495,7.668402554096019
tt0081398,movie,Raging Bull,Raging Bull,0,1980,\N,129,"Biography,Drama,Sport",8.1,400377,7.666065308322944
tt1136608,movie,District 9,District 9,0,2009,\N,112,"Action,Sci-Fi,Thriller",7.9,741076,7.665669705418602
tt0304141,movie,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,0,2004,\N,142,"Adventure,Family,Fantasy",7.9,741061,7.665665988214848
tt1832382,movie,A Separation,Jodaeiye Nader az Simin,0,2011,\N,123,Drama,8.3,272469,7.663948074238334
tt0395169,movie,Hotel Rwanda,Hotel Rwanda,0,2004,\N,121,"Biography,Drama,History",8.1,386656,7.655993997609494
tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy",8.0,497002,7.654987751765666
tt0050825,movie,Paths of Glory,Paths of Glory,0,1957,\N,88,"Drama,War",8.4,229873,7.654496095727039
tt0454876,movie,Life of Pi,Life of Pi,0,2012,\N,127,"Adventure,Drama,Fantasy",7.9,690070,7.652309263887862
tt0103639,movie,Aladdin,Aladdin,0,1992,\N,90,"Adventure,Animation,Comedy",8.0,490896,7.651958464990375
tt0077416,movie,The Deer Hunter,The Deer Hunter,0,1978,\N,183,"Drama,War",8.1,379455,7.650519050105209
tt0093779,movie,The Princess Bride,The Princess Bride,0,1987,\N,98,"Adventure,Comedy,Family",8.0,473002,7.642766492922348
tt0071315,movie,Chinatown,Chinatown,0,1974,\N,130,"Drama,Mystery,Thriller",8.1,369319,7.642579785767392
tt0319061,movie,Big Fish,Big Fish,0,2003,\N,125,"Adventure,Drama,Fantasy",8.0,472569,7.642538044632867
tt0120363,movie,Toy Story 2,Toy Story 2,0,1999,\N,92,"Adventure,Animation,Comedy",7.9,652793,7.641539498513125
tt0112471,movie,Before Sunrise,Before Sunrise,0,1995,\N,101,"Comedy,Drama,Romance",8.1,365485,7.639503113927878
tt0053291,movie,Some Like It Hot,Some Like It Hot,0,1959,\N,121,"Comedy,Music,Romance",8.2,298686,7.6377302539807825
tt0796366,movie,Star Trek,Star Trek,0,2009,\N,127,"Action,Adventure,Sci-Fi",7.9,632328,7.63521895887887
tt1727824,movie,Bohemian Rhapsody,Bohemian Rhapsody,0,2018,\N,134,"Biography,Drama,Music",7.9,629135,7.634204827467107
tt0365748,movie,Shaun of the Dead,Shaun of the Dead,0,2004,\N,99,"Comedy,Horror",7.9,626075,7.6332256216748595
tt0070735,movie,The Sting,The Sting,0,1973,\N,129,"Comedy,Crime,Drama",8.2,293157,7.631483778947034
tt0059578,movie,For a Few Dollars More,Per qualche dollaro in più,0,1965,\N,132,"Drama,Western",8.2,292972,7.631272371755295
tt23849204,movie,12th Fail,12th Fail,0,2023,\N,147,"Biography,Drama",8.7,155636,7.630470581603271
tt0903624,movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,0,2012,\N,169,"Adventure,Fantasy",7.8,910505,7.619618996267817
tt0079470,movie,Monty Python's Life of Brian,Life of Brian,0,1979,\N,94,Comedy,8.0,430871,7.6190797110863375
